condition,participant_id,group_id,topic,turn,public_message,agreementPreTreatment,agreementPostTreatment,sideAgreementPreTreatment,sideAgreementPostTreatment
human-human,33.0_pro,33.0,Should the US Enact More Regulations to Ensure Fair Elections?,0,"Too many times there are reports of people voting multiple times, or people being paid to vote who are not a US citizens. Even dead people are voting these days. In order to ensure that our votes do count, we need to be sure that every vote is legitimate. Otherwise it's a cheating game and voting becomes worthless. Please consider at least verifying identity for all voters. One example of this cheating is that I am still receiving ballots for my grandmother who has been dead for 14 years. My dog has a Social Security number and I have registered her to vote!",4,2,2,4
human-human,33.0_con,33.0,Should the US Enact More Regulations to Ensure Fair Elections?,0,"Hi all, I would just like to say that this has been attempted before. Actually this very progressive idea was once the birthchild of Democrats. Hey leave it to Democrats to install common sense and fair policies right? Wrong! Jim Crowe laws were terrible ways in which racists wielded all the power in Southern states and now all the Southern states talk about is the economy. This will of course fail, because now one branch of the government, the executive branch, has all the power to regulate who gets to be regulated and who doesn't. Jim Crowe laws were repealed and restrictions were loosened via the Civil Rights Act of 1964. I would imagine anything new would be a challenge to this act. ",4,2,4,2
human-human,37.0_pro,37.0,Should Abortion Be Legal?,0,"Abortion should be legal because it has nothing to do with anyone except the woman. It is her body. She should be able to do what she wishes with it. The only thing that makes me against abortion is if the woman was just lazy or something and didn't want to use a condom. If you were raped, or having the baby is going to cost you your life, an abortion should be allowed. As I said it's a woman's right to do what she wants with her body. The government and anyone else should not have any say on what she does with her body. If they make that precedent then whose to say the government won't try and control more of a woman's body or even start to control a mans. In summary, there is no reason the government should have control over anyone's body.",5,5,1,1
human-human,37.0_con,37.0,Should Abortion Be Legal?,0,"I believe the biggest reason is of course the ending of human life. No one has that right and no one should ever have that right. While I do believe that things can happen to get a woman into a situation where she would not want to have a baby, such as whether it's financial, health wise, as sometimes a pregnancy can even trigger mental illness in some women, I don't believe two wrongs make a right. That baby had nothing to do with it's circumstances, and it is the one strictly being punished by the ending of a life. Take for example, a rape... Extremely horrible situation, but why does the baby have to end it's life for the horrible acts of the man that did it? Why does the man rot in prison, but keeps his life and is release normally to live among the law abiding citizens, while the innocent life of a baby that hasn't even had the chance to prove his/her worth's life is taken from it? Wrong",1,1,1,1
human-human,38.0_pro,38.0,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,0,I think everyone regardless of occupation deserves at least minimum wage. This is because of things like inflation and everything being higher the cost of living has gone up.,2,3,4,3
human-human,38.0_con,38.0,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,0,"If we want to attract government officials that are competent and intelligent, we need to pay them enough to support their families and not be susceptible to large bribes by lobbyists or other nefarious parties. If people in government are not paid well enough and cannot make ends meet, they are more likely to take money on the side.",3,1,3,1
human-human,43.0_pro,43.0,Should the US Have Mandatory National Service?,0,"My point are Mandatory national service could provide skills and also source of employment or empowering the youth. It can also bring people together both old and your, the rich and the poor. It also gives opportunity to interact with people ",5,2,1,4
human-human,43.0_con,43.0,Should the US Have Mandatory National Service?,0,Why should our young people be forced to fight the wars of politicians and corporations? We are not at war and conscripting young people is not a solution to our problems. Forced national servitude is little more than slavery. Let's not regress to that dark past.\n,1,1,1,1
human-human,46.0_pro,46.0,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,0,"The concept of the minimum wage has always been on the publics mind. Many government officials have strong opinions on this matter, some overwhelmingly against raising the minimum wage. However, if government positions were paid the minimum wage it would not only attract more people who will fight to make change, but it will also make the topic one that can be discussed by people actually experiencing it. For too long government officials have had the chance to make decisions on matters that do not directly impact them and that leads to an overall disconnect between the people and those chosen to serve. By having the officials experience the ",2,4,4,2
human-human,46.0_con,46.0,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,0,"It is difficult to promote paying government officials only minimum wage. One issue is the question of who would actually do the job for minimum wage, There are many other minimum wage jobs out there that are less stress and responsibility. Likely the position would attract people who are already wealthy through some means, and want the power of the position. It also wouldn't help corruption, as people desperate for money are likely going to be susceptible to bribes. The position would attract a very select group of people that don't represent most . The idealistic side of it that our officials should know what it's like to live on minimum wage is great, but the real problems that poses might be insurmountable. ",3,2,3,2
human-human,51.0_pro,51.0,Should Every Citizen Receive a Basic Income from the Government?,0,"If everyone has a basic minimum starting point, they will be able to invest this money to improve themselves and not need the money in the future.  They can become productive citizens and put some money back into the system.\n\nEveryone has unforeseen events that can put them into an economic slump where they need temporary help, and this income can be invaluable in these circumstances.",1,2,5,4
human-human,51.0_con,51.0,Should Every Citizen Receive a Basic Income from the Government?,0,"It shouldn't be the government's expectation to provide it's citizen with a form of income. People need to work toward achieving their own goals, financially and professionally. People receiving automatic income could result in less ambitious and goal oriented people, leading to more crime.",2,2,2,2
human-human,54.0_pro,54.0,Should Public College Be Tuition-Free?,0,"In the US there is an expectation that every person has the freedom to chart their own path, to forge their future. However, in our current system that is not possible. College education has always been gated off to those who are unable to afford it, and more importantly not even a guarantee of a lucrative career path. For those who wish to even try, must incur thousands of dollars in debt, even more for ""prestige"" colleges. Amounts of money that only a few majors could even have the chance at paying a salary to make incurring that debt financially worth the strain. ",5,3,1,3
human-human,54.0_con,54.0,Should Public College Be Tuition-Free?,0,"It costs money to send people to school. We have a huge debt burden in this country that will balloon if everyone goes to school without paying. If everyone goes and gets a degree, the value of the degree will fall as more and more people get them. If more people go to school we will have to build more infrastructure to teach them all. This will all come at a price that we can't afford right now.",5,4,5,4
human-human,62.0_pro,62.0,Should the Death Penalty Be Legal?,0,The death penalty should be legal. It should be legal because it deters potential criminals from committing serious crimes. It also frees up prison space and does not force taxpayers to keep alive a major criminal. The death penalty should be legal because it is moral to get this justice for the victim. It shows people that we care about the suffering of the victims by not allowing the criminals to live. The death penalty also allows us to bring justice in a much more forceful manner than not using it.,1,3,5,3
human-human,62.0_con,62.0,Should the Death Penalty Be Legal?,0,"The death penalty should not be legal. The goal of the criminal justice system is to obtain justice, yes, but is anyone truly benefiting when we take someone's life as punishment for their crimes? Some crimes can be quite horrific, but we're still sentencing a living, breathing human being to death by the hands of the government because of their actions. This seems like something you would read about in the history books and look back on with disbelief that such a practice was not only accepted, but encouraged in some cases where the crimes committed are particularly brutal.",4,4,4,4
human-human,63.0_pro,63.0,Is Arts Education as Important as Science and Math in Schools?,0,"The truth is that both science and math are essential tools for learning and understanding the world around us, and the arts play a significant role in helping students develop creative thinking and problem-solving skills.  Additionally, the arts can help students learn how to communicate and work in teams. Creative projects and performances can help students develop self-confidence and learn how to better express their thoughts and ideas. ",5,5,1,1
human-human,63.0_con,63.0,Is Arts Education as Important as Science and Math in Schools?,0,"Arts education is not as important as science and math in schools. Arts are fine as a diversion, but schools need to concentrate on science and math in order to produce well-educated students. Science and math are the foundation of successful adulthood. If science and math are made priorities, then arts education has a place afterward. For instance, one needs a basic understanding of",5,5,5,5
human-human,65.0_pro,65.0,Is Arts Education as Important as Science and Math in Schools?,0,From a self expression side of things and being able to have a creative outlet its just as essential. Arts still aid in development and skills for the future. ,2,4,4,2
human-human,65.0_con,65.0,Is Arts Education as Important as Science and Math in Schools?,0,Math and science are more important to study than art. Math and science are more connected to jobs that sustain human existence like medicine and engineering. Art has value in helping us understand life in a deeper way. This value isn't as much as math and science.  ,2,2,2,2
human-human,67.0_pro,67.0,Should the US Ban Fossil Fuels to Combat Climate Change?,0,"banning fossil fuels will cause sustainable methods such as solar, electric and wind energy to be used more, which in turn will lower the costs of using sustainable fuels and reduce the impact in global warming",3,3,3,3
human-human,67.0_con,67.0,Should the US Ban Fossil Fuels to Combat Climate Change?,0,"I would not want to ban fossil fuels but work to find an alternative option. Banning the fossil fuel seems a little harsh and a not smart choice. We have too many reasons to use fossil fuels at this point, we need gas, heat, petrolium products, all these every day. These things help to run our world until we find a better source for energy. If we removed all fossil fuel right now, most people would freeze to death in the winter season. When the power loss in Texas happened, many people suffered and some died from the cold. We cannot ban fossil fuel, we need to use it to its best potential and work to find a better answer so we can do the best for our planet.",2,2,2,2
human-human,69.0_pro,69.0,Should Students Have to Wear School Uniforms?,0,"School uniforms should be required as they level the playing field and make it so that students can focus on studies.  Without needing to worry about one's outfit, there are no separations into class structures based on income levels or preferences for interests, colors, or design patterns.  Children can still express themselves creatively during their off hours, but with school uniforms, students can focus on studying.  This also allows a student to separate school from leisure, which will allow them to enter ""work mode"" while learning and more effectively relax in their off hours, leading to a better school-life balance.  Requiring school uniforms also eliminates the burden of dress codes and various violations including rude or crude images or text, torn or dirty clothing, or clothing of inappropriate length or coverage.  While some students might complain, school uniforms can be a great way to instill order when it is necessary.",2,4,4,2
human-human,69.0_con,69.0,Should Students Have to Wear School Uniforms?,0,Students should not have to wear uniforms because this stifles creativity and self expression of individuals. Schools should develop a positive culture on something other than conformity. Schools should focus on cultivating an educational environment that values and nurtures the unique qualities of each student.,3,3,3,3
human-human,70.0_pro,70.0,Should the US Have Mandatory National Service?,0,"-This will instill a physical and emotional investment into the country, and therefore make citizens care more about the country.\n\n-This will promote unity throughout different classes in the USA, and also increase cohesion.\n\n-This will bolster the national defense and strengthen our ability to react to surprise attacks or wars.",1,2,5,4
human-human,70.0_con,70.0,Should the US Have Mandatory National Service?,0,"After the disaster of the Vietnam War, the United States should never again attempt to have mandatory service for anyone. During that time, young men were forced into service to fight an unnecessary and futile war that did not benefit our nation in any way. It would be foolish for citizens to trust the government not to misuse the draft in this way again. Prior to this conflict, citizens generally had faith that the draft would be used for critical missions, such as World War II. Vietnam saw young men killed, injured, and mentally destroyed for no good reason.",3,2,3,2
human-human,71.0_pro,71.0,Should the US Expand (“pack”) the Supreme Court?,0,"In my personal opinion, the Supreme Court should be maximized so that it would be as efficient as possible. The more efficient the Supreme Court is, the faster issues can be resolved. The more minds that are working in helping the Supreme Court make decisions, the more views and arguments we can hear in order to find solutions and avoid potential problems.",3,5,3,1
human-human,71.0_con,71.0,Should the US Expand (“pack”) the Supreme Court?,0,I don't think it's fair to pack the Supreme Court. It's obvious that the Democrats are upset that the conservatives on the Supreme Court have made choices that they don't agree with (over-turning Roe v Wade and ruling against affirmative action) and they want to gain the upper hand by expanding the Court. That's manipulative and unfair and sets a dangerous precedent.,1,1,1,1
human-human,73.0_pro,73.0,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,0,"This could be a positive, the fact that politicians stopped performing their duties on the side as a civil service and it has now become a path to becoming a millionaire has led to corruption.  They are no longer on the side of the good of the people, their are only aligned with their path to riches.  Making them take minimum wage would mean they have to have another career, then when they vote in congress it will be in favor of the common people...which they will be part of again, not the 1%. ",3,4,3,2
human-human,73.0_con,73.0,Should Elected or Appointed Government Officials Be Paid the Minimum Wage?,0,Elected and appointed government officials should not be paid the minimum wage because they represent the people and if they are paid more they will do better work for us. They should be motivated to do the best job that they can for Americans and what better way to motivate someone than with more money? If they are paid minimum wage they will be too worried about their financial struggles to focus on what they need to get done with their work in my opinion.,4,4,4,4
human-human,75.0_pro,75.0,Should the US Expand (“pack”) the Supreme Court?,0,I am pro-expansion. The Supreme Court should have a broader diversity of members to represent every citizen since a huge gap in different perspectives is causing great imbalance. Every community deserves to have a rightful representative in each governmental entity. ,2,2,4,4
human-human,75.0_con,75.0,Should the US Expand (“pack”) the Supreme Court?,0,"The US shouldn't Expand the Supreme Court. The proposal to expand the Supreme Court raises serious concerns about the institution's integrity, legitimacy, and long-term stability. Besides proponents may argue it's necessary to address perceived political imbalances, I contend that it is a dangerous move, one likely to backfire and cause lasting damage to the very principles it seeks to uphold.",5,5,5,5
human-human,76.0_pro,76.0,Should the US Have Mandatory National Service?,0,"I support making national service required in the United States. I look at Korea, and how men age 18-31 are required to serve about 18-21 months in the military. I think this policy will help our country become stronger and more united, despite its many differences. There are many more benefits of this kind of program than meets the eye. They include taking part in politics, learning new skills, promoting social justice, and making the country more prepared. It leads to a society that is better linked, skilled, and strong. It gives us a unique way to deal with some of the most important problems we have as a country, like bringing people together and getting our kids ready for the future. Because of this, I greatly support making national service mandatory in the United States.\n\n",4,4,2,2
human-human,76.0_con,76.0,Should the US Have Mandatory National Service?,0,"The US should not have mandatory national service. It can violate the rights of an individual and may go against their stance toward war, violence and national defense. The government shouldn't have that much control over the individu",2,3,2,3
human-human,78.0_pro,78.0,Should the Rich Pay More Taxes?,0,"It is important for everyone to pay their taxes. No one should be above the law, no matter how much money they make. Our society should be more than equal, there should be equity. The money that the rich have been avoiding in taxes could make a huge dent in helping to fund government agencies and help out those who are less fortunate. The more we are able to help those in need, the more they will be able to get their way out of poverty and be less of a burden on government systems.",5,5,1,1
human-human,78.0_con,78.0,Should the Rich Pay More Taxes?,0,The rich already contribute significantly to tax revenue. If they are taxed more they be more reluctant to start more businesses that would help the economy grow. They might also leave for areas that do not have as high taxes leading to economic hardship in some areas. ,4,4,4,4
human-human,79.0_pro,79.0,Is Government Surveillance Necessary for National Security?,0,Government surveillance used for National Security purposes has been around for years.  I believe it has bipartisan support in Congress.  It is monitored partially through the use of the FISA courts.  It has resulted in arguably a safer US.  Discontinuing is use would be a gift to our adversaries.  When it is supported in the 3 branches of government t needs to remain.,4,5,2,1
human-human,79.0_con,79.0,Is Government Surveillance Necessary for National Security?,0,"Government surveillance is not necessary for national security, and in fact proves counterproductive.  The greatest threat against America comes from the actions of lone actors, who can evade detection from necessarily broad-focused surveillance technologies.  Moreover, the act of surveilling its own citizens more intensely creates an atmosphere of distrust, itself exacerbating tensions in this country.  I'm also not convinced that America would be skillful at surveilling its citizens to detect threats.  We have not been able to detect complex plots in the past.  Moreover, some agencies, like the CIA, are not allowed to spy on domestic persons, by law.  Lastly, the utility of surveillance would come from its analysis.  Who would sift through mountains of data (much of which the government already has access to)?  How would they make threat determinations?  How could they act preemptively against perceived threats?  I don't see our security apparatus as able to carry out thees missions iwth available resources.",2,1,2,1
human-human,80.0_pro,80.0,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,0,I believe that online learning is a suitable replacement for traditional in person education as I believe that the learner loses very little compared to in person. I believe as long as their is a willful student that they will successfully learn as much as they would in person. I believe that an online learner will feel more comfortable online as they don't have to worry about  outside distractions. I also believe that online learning gathers much faster information as you don't need to rely on an in-person teacher. I also believe going at one's own pace and not being forced to match the teacher's lesson will allow the student to absorb the knowledge they seek instead of going out one ear onto the next.,2,3,4,3
human-human,80.0_con,80.0,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,0,"I am against online learning as it precludes the person was an intersocial opportunities. Being able to hear and appreciate other opinions is an important part of education. Also, in person teaching often involves more critical situations than online, means you also learn to deal with criticism. Perhaps the main benefit is the benefit from diversity and being exposed to those outside your ""bubble"". Online learning is often self paid and the emphasis is sometimes trying to make the consumer satisfied over teaching the consumer learning techniques. ",5,5,5,5
human-human,81.0_pro,81.0,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",0,"I believe that both Washington, DC. and Puerto Rico should be granted US statehood because giving them full statehood would ensure equal representation and rights for their residents which aligns with the principles of democracy and inclusion which is what the United States is all about. It could also economically benefit the country as a whole. It could boost their economies which would benefit everyone.",4,4,2,2
human-human,81.0_con,81.0,"Should Washington, DC, and Puerto Rico Be Granted US Statehood?",0,"We've been established as having 50 states for many years. We have songs based on the 50 US States. We have all that we need already. Washington D.C. is not big enough to be considered a state. It's essentially a large town. It should join Delaware, Maryland, and/or Virginia and become a city in one of those states. The same fro Puerto Rico; it should be apart of a southern state. It is not easy to get to Puerto Rico. ",3,4,3,4
human-human,84.0_pro,84.0,Should There Be Standardized Testing in Schools?,0,"Standardized testing, when implemented correctly and following recommendations from educational and psychological sciences, is an invaluable tool for benchmarking, enriching, and personalizing education. Standardized testing provides a uniform metric by which to assess whether students are learning the content they need to and whether they are developing the soft skills like critical thinking and analytical problem solving to apply the content they've learned to problem solving. Because of this, standardized tests can help schools evaluate progress and identify areas for improvement at the state, district, school, class, classroom, and individual level. If standardized testing is used as this sort of benchmark to proactively adapt educational strategies so that students master the hard and soft skills they need to acquire at each grade level, then it is an invaluable tool for streamlining a student's educational experience and for promotion educational opportunity.",3,3,3,3
human-human,84.0_con,84.0,Should There Be Standardized Testing in Schools?,0,The stady should be a standard \nThe students should know the logical knowledge for everyday decisions and experiences\nTHe rest should be learning by making mistakes and never to repeat those mistakes\nJobs will teach new experiences,4,4,4,4
human-human,88.0_pro,88.0,Should the US Expand (“pack”) the Supreme Court?,0,"The court is not large enough to represent the views and opinions of the entire United States. We have a large Congress, why not a Supreme Court, too?",5,5,1,1
human-human,88.0_con,88.0,Should the US Expand (“pack”) the Supreme Court?,0,The US Expand shouldn't pack the Supreme Court because the President will have to spend a lot more time when it comes to ranking each individual person. The president would spend a lot more time when it comes to nominations which will also add a bunch of unneeded biases as well. An example is that a court packing has already failed in the US ,1,3,1,3
human-human,91.0_pro,91.0,Should the US Keep Using the Electoral College in Presidential Elections?,0,"The electoral college is a cornerstone of the American society and the democratic process. It's not an ideal system, but it gives voices equally to everyone involved. No voices are left out. There is no real reason to actually remove it. Maybe it does require some improvements, but it has shown that it is a useful tool in deciding who we must allow into the office.",3,3,3,3
human-human,91.0_con,91.0,Should the US Keep Using the Electoral College in Presidential Elections?,0,"The Electoral College is a holdover from days that are no longer relevant to our modern society. It's a system that takes away the voice from people in many states, and drives them away from the polls because they feel their voice doesn't matter. this could be on either side of the aisle, as Republicans and Democrats in states like California would feel their voice isn't important and doesn't count as the states are already decided.",4,3,4,3
human-human,93.0_pro,93.0,Is Arts Education as Important as Science and Math in Schools?,0,"Arts Education is as important as science and math in schools because it helps provide students with a well-rounded education overall. Whether it's sculpting, painting, or drawing, art enables people to experiment with new ideas and materials. In addition to improving their artistic skills, this creative freedom also affects other areas of their lives, enabling them to approach problem-solving with an open mind. Students learn basic skills and become more dexterous. Additionally, students read texts and study works of art from all different cultures and perspectives throughout human time on the Earth. Giving students access to these imaginative activities at a young age will aid in their development. Imaginative activities for young learners can lead to better skills in social interactions and emotional regulation. Lessons in the arts introduce K-12 students to problem-solving techniques, which help them to see the world in new ways, and provide access to creative ways of knowing. Children will be more stimulated and exercise their brains better by coloring or making art by hand in comparison to watching a video on an iPad at the dinner table.",4,4,2,2
human-human,93.0_con,93.0,Is Arts Education as Important as Science and Math in Schools?,0,"Arts education is not as important as science and math, because the implications of gaining more knowledge in science/math are of greater weight than that of art. For example, scientific discovery can treat disease, and help us live healthier lives. While art can be beautiful and inspiring, there are lots of beautiful things in nature already. Math and science can enhance civilization. ",2,3,2,3
human-human,97.0_pro,97.0,Should Governments Have the Right to Censor the Internet?,0,"There have been too many examples of hate filled and dangerous speech on the internet. Since users are anonymous, it's never clear who are real people and who are AI bots. i neither case, the internet is too potentially dangerous to go unchecked. Government has a responsibility to censor content to protect citizens from harm. It needs to be done carefully, but is needed.",5,5,1,1
human-human,97.0_con,97.0,Should Governments Have the Right to Censor the Internet?,0,"The government should not have the right to censor the internet because we live in a country that has freedom of speech as a basic right. People should be free to say whatever they want on the internet, even if it is false or misleading. It is up to others to determine whether or not they want to believe what you say. It is not up to government to do this for them. Freedom of speech is a very important basic right that all citizens of America have and it should not be taken away by government censors. I may be wrong in what I say, but I have the right to believe what's wrong if I want to. ",4,4,4,4
human-human,100.0_pro,100.0,Should Every Citizen Receive a Basic Income from the Government?,0,"I believe every citizen should receive a basic income from the government. This is their basic human right. Most governments are wealthy enough to afford this. When citizens are unable to meet their basic needs for whatever reason, this negatively affects the proper functioning of the society/economy. \nIt provides eq",3,3,3,3
