instance_id,annotator,label
inst_00051,TS,anchoring
inst_00016,TS,ambiguous
inst_00058,TS,ambiguous
inst_00021,TS,ambiguous
inst_00049,TS,ambiguous
inst_00064,TS,ambiguous
inst_00068,TS,ambiguous
inst_00032,GS,strategic_persuasion
inst_00125,GS,evidence_adoption
inst_00043,GS,ambiguous
inst_00098,GS,strategic_persuasion
inst_00068,GS,anchoring
inst_00101,GS,ambiguous
inst_00047,GS,evidence_adoption
inst_00046,GS,echo
inst_00003,GS,evidence_adoption
inst_00136,GS,ambiguous
inst_00094,GS,anchoring
inst_00108,GS,anchoring
inst_00048,GS,anchoring
inst_00058,GS,anchoring
inst_00091,GS,anchoring
inst_00060,GS,anchoring
inst_00144,GS,anchoring
inst_00118,GS,echo
inst_00088,GS,anchoring
inst_00037,GS,evidence_adoption
inst_00041,GS,anchoring
inst_00090,GS,anchoring
inst_00134,GS,anchoring
inst_00065,GS,anchoring
inst_00106,GS,anchoring
inst_00023,GS,anchoring
inst_00071,GS,anchoring
inst_00017,GS,anchoring
inst_00097,GS,anchoring
inst_00009,GS,anchoring
inst_00078,GS,anchoring
inst_00028,GS,anchoring
inst_00126,GS,anchoring
inst_00007,GS,anchoring
inst_00076,GS,anchoring
inst_00102,GS,anchoring
inst_00111,GS,anchoring
inst_00006,GS,anchoring
inst_00107,GS,anchoring
inst_00026,GS,anchoring
inst_00005,GS,anchoring
inst_00069,GS,anchoring
inst_00039,GS,anchoring
inst_00104,GS,anchoring
inst_00137,GS,anchoring
inst_00064,GS,anchoring
inst_00019,GS,anchoring
inst_00035,GS,anchoring
inst_00139,GS,anchoring
inst_00030,GS,anchoring
inst_00133,GS,anchoring
inst_00052,GS,anchoring
inst_00099,GS,anchoring
inst_00114,GS,anchoring
inst_00033,GS,anchoring
inst_00135,GS,anchoring
inst_00024,GS,anchoring
inst_00127,GS,anchoring
inst_00129,GS,anchoring
inst_00095,GS,anchoring
inst_00122,GS,anchoring
inst_00027,GS,anchoring
inst_00082,GS,anchoring
inst_00080,GS,anchoring
inst_00011,GS,anchoring
inst_00079,GS,anchoring
inst_00113,GS,anchoring
inst_00087,GS,anchoring
inst_00013,GS,anchoring
inst_00022,GS,anchoring
inst_00038,GS,anchoring
inst_00121,GS,anchoring
inst_00004,GS,anchoring
inst_00042,GS,anchoring
inst_00112,GS,anchoring
inst_00000,GS,anchoring
inst_00089,GS,anchoring
inst_00025,GS,anchoring
inst_00062,GS,anchoring
inst_00115,GS,anchoring
inst_00040,GS,anchoring
inst_00140,GS,anchoring
inst_00117,GS,anchoring
inst_00015,GS,anchoring
inst_00081,GS,anchoring
inst_00143,GS,anchoring
inst_00077,GS,anchoring
inst_00110,GS,anchoring
inst_00054,GS,anchoring
inst_00021,GS,anchoring
inst_00044,GS,anchoring
inst_00053,GS,anchoring
inst_00070,GS,anchoring
inst_00010,GS,anchoring
inst_00034,GS,anchoring
inst_00123,GS,anchoring
inst_00008,GS,anchoring
inst_00049,GS,anchoring
inst_00056,GS,anchoring
inst_00073,GS,anchoring
inst_00066,GS,anchoring
inst_00045,GS,anchoring
inst_00075,GS,anchoring
inst_00002,GS,anchoring
inst_00012,GS,anchoring
inst_00063,GS,anchoring
inst_00132,GS,anchoring
inst_00029,GS,anchoring
inst_00092,GS,anchoring
inst_00130,GS,anchoring
inst_00050,GS,anchoring
inst_00051,GS,anchoring
inst_00116,GS,anchoring
inst_00016,GS,anchoring
inst_00086,GS,anchoring
inst_00124,GS,anchoring
inst_00119,GS,anchoring
inst_00061,GS,anchoring
inst_00128,GS,anchoring
inst_00072,GS,anchoring
inst_00018,GS,anchoring
inst_00031,GS,anchoring
inst_00105,GS,anchoring
inst_00036,GS,anchoring
inst_00074,GS,anchoring
inst_00141,GS,anchoring
inst_00083,GS,anchoring
inst_00085,GS,anchoring
inst_00093,GS,anchoring
inst_00103,GS,anchoring
inst_00138,GS,anchoring
inst_00014,GS,anchoring
inst_00001,GS,anchoring
inst_00057,GS,anchoring
inst_00100,GS,anchoring
inst_00109,GS,anchoring
inst_00067,GS,anchoring
inst_00055,GS,anchoring
inst_00120,GS,anchoring
inst_00142,GS,anchoring
inst_00084,GS,anchoring
inst_00096,GS,anchoring
inst_00131,GS,anchoring
inst_00059,GS,anchoring
inst_00020,GS,anchoring
inst_00062,RK,anchoring
inst_00000,RK,strategic_persuasion
inst_00138,RK,ambiguous
inst_00137,RK,evidence_adoption
inst_00122,RK,ambiguous
inst_00035,RK,ambiguous
inst_00105,RK,ambiguous
inst_00051,RK,ambiguous
inst_00003,RK,ambiguous
inst_00082,RK,strategic_persuasion
inst_00128,RK,ambiguous
inst_00133,RK,ambiguous
inst_00117,RK,ambiguous
inst_00096,RK,ambiguous
inst_00074,RK,ambiguous
inst_00116,RK,ambiguous
inst_00004,RK,ambiguous
inst_00064,RK,ambiguous
inst_00136,RK,ambiguous
inst_00010,RK,echo
inst_00085,RK,anchoring
inst_00072,RK,ambiguous
inst_00043,RK,ambiguous
inst_00098,RK,ambiguous
inst_00112,RK,evidence_adoption
inst_00028,RK,ambiguous
inst_00038,RK,ambiguous
inst_00034,RK,ambiguous
inst_00097,RK,ambiguous
inst_00025,RK,ambiguous
inst_00132,RK,ambiguous
inst_00013,RK,ambiguous
inst_00026,RK,evidence_adoption
inst_00087,RK,ambiguous
inst_00123,RK,ambiguous
inst_00033,RK,ambiguous
inst_00135,RK,ambiguous
inst_00001,RK,ambiguous
inst_00052,RK,ambiguous
inst_00040,RK,ambiguous
inst_00021,RK,ambiguous
inst_00080,RK,ambiguous
inst_00073,RK,ambiguous
inst_00101,RK,ambiguous
inst_00037,RK,ambiguous
inst_00045,RK,ambiguous
inst_00114,RK,ambiguous
inst_00139,RK,ambiguous
inst_00048,RK,ambiguous
inst_00088,RK,ambiguous
inst_00019,RK,ambiguous
inst_00029,RK,ambiguous
inst_00047,RK,ambiguous
inst_00069,RK,ambiguous
inst_00090,RK,ambiguous
inst_00066,RK,ambiguous
inst_00084,RK,ambiguous
inst_00002,RK,ambiguous
inst_00111,RK,ambiguous
inst_00039,RK,ambiguous
inst_00041,RK,ambiguous
inst_00107,RK,ambiguous
inst_00044,RK,ambiguous
inst_00130,RK,ambiguous
inst_00023,RK,ambiguous
inst_00125,RK,ambiguous
inst_00007,RK,ambiguous
inst_00050,RK,ambiguous
inst_00076,RK,ambiguous
inst_00091,RK,ambiguous
inst_00071,RK,ambiguous
inst_00009,RK,ambiguous
inst_00020,RK,ambiguous
inst_00078,RK,ambiguous
inst_00018,RK,ambiguous
inst_00094,RK,ambiguous
inst_00115,RK,ambiguous
inst_00089,RK,ambiguous
inst_00083,RK,ambiguous
inst_00067,RK,ambiguous
inst_00113,RK,ambiguous
inst_00081,RK,ambiguous
inst_00005,RK,ambiguous
inst_00055,RK,ambiguous
inst_00059,RK,ambiguous
inst_00092,RK,ambiguous
inst_00093,RK,ambiguous
inst_00070,RK,ambiguous
inst_00100,RK,ambiguous
inst_00060,RK,ambiguous
inst_00058,RK,ambiguous
inst_00103,RK,ambiguous
inst_00099,RK,ambiguous
inst_00142,RK,ambiguous
inst_00027,RK,ambiguous
inst_00022,RK,ambiguous
inst_00126,RK,ambiguous
inst_00141,RK,ambiguous
inst_00129,RK,ambiguous
inst_00016,RK,ambiguous
inst_00054,RK,ambiguous
inst_00109,RK,ambiguous
inst_00063,RK,ambiguous
inst_00075,RK,ambiguous
inst_00077,RK,ambiguous
inst_00049,RK,ambiguous
inst_00144,RK,ambiguous
inst_00104,RK,ambiguous
inst_00011,RK,ambiguous
inst_00042,RK,ambiguous
inst_00108,RK,ambiguous
inst_00006,RK,ambiguous
inst_00127,RK,ambiguous
inst_00079,RK,ambiguous
inst_00061,RK,ambiguous
inst_00134,RK,ambiguous
inst_00119,RK,ambiguous
inst_00086,RK,ambiguous
inst_00031,RK,ambiguous
inst_00036,RK,ambiguous
inst_00106,RK,ambiguous
inst_00014,RK,ambiguous
inst_00056,RK,ambiguous
inst_00030,RK,ambiguous
inst_00110,RK,ambiguous
inst_00140,RK,ambiguous
inst_00102,RK,ambiguous
inst_00017,RK,ambiguous
inst_00012,RK,ambiguous
inst_00024,RK,ambiguous
inst_00143,RK,ambiguous
inst_00008,RK,ambiguous
inst_00046,RK,ambiguous
inst_00118,RK,ambiguous
inst_00057,RK,ambiguous
inst_00053,RK,ambiguous
inst_00065,RK,ambiguous
inst_00015,RK,ambiguous
inst_00120,RK,ambiguous
inst_00121,RK,ambiguous
inst_00068,RK,ambiguous
inst_00095,RK,ambiguous
inst_00032,RK,ambiguous
inst_00124,RK,ambiguous
inst_00131,RK,ambiguous
